Temperature [K],Pressure [MPa],Liquid Density [kg/m3],Liquid Viscosity [Pa s],Liquid Thermal Conductivity [W/m K],Surface Tension [N/m],Vapour Density [kg/m3],Vapour Viscosity [Pa s],Vapour Thermal Conductivity [W/m K]
523.50,4.0000,798.37,106.12e-6,616.51e-3,25.960e-3,20.090,17.442e-6,50.441e-3
523.80,4.0200,797.93,105.98e-6,616.19e-3,25.890e-3,20.193,17.453e-6,50.529e-3
524.09,4.0400,797.49,105.85e-6,615.87e-3,25.821e-3,20.297,17.465e-6,50.617e-3
524.39,4.0600,797.05,105.71e-6,615.56e-3,25.752e-3,20.400,17.476e-6,50.704e-3
524.68,4.0800,796.61,105.58e-6,615.24e-3,25.683e-3,20.504,17.486e-6,50.792e-3
524.97,4.1000,796.17,105.45e-6,614.92e-3,25.614e-3,20.608,17.497e-6,50.879e-3
525.26,4.1200,795.74,105.32e-6,614.61e-3,25.546e-3,20.712,17.508e-6,50.967e-3
525.55,4.1400,795.30,105.18e-6,614.29e-3,25.478e-3,20.815,17.519e-6,51.054e-3
525.84,4.1600,794.87,105.05e-6,613.98e-3,25.410e-3,20.919,17.530e-6,51.141e-3
526.13,4.1800,794.43,104.92e-6,613.67e-3,25.342e-3,21.023,17.541e-6,51.229e-3
526.41,4.2000,794.00,104.79e-6,613.35e-3,25.275e-3,21.127,17.552e-6,51.316e-3
526.70,4.2200,793.57,104.67e-6,613.04e-3,25.208e-3,21.231,17.562e-6,51.403e-3
526.98,4.2400,793.14,104.54e-6,612.73e-3,25.141e-3,21.336,17.573e-6,51.490e-3
527.27,4.2600,792.71,104.41e-6,612.42e-3,25.074e-3,21.440,17.584e-6,51.577e-3
527.55,4.2800,792.28,104.28e-6,612.10e-3,25.008e-3,21.544,17.595e-6,51.664e-3
527.83,4.3000,791.85,104.16e-6,611.79e-3,24.941e-3,21.649,17.605e-6,51.751e-3
528.11,4.3200,791.43,104.03e-6,611.48e-3,24.876e-3,21.753,17.616e-6,51.838e-3
528.39,4.3400,791.00,103.91e-6,611.17e-3,24.810e-3,21.858,17.627e-6,51.925e-3
528.67,4.3600,790.58,103.78e-6,610.86e-3,24.744e-3,21.962,17.637e-6,52.011e-3
528.94,4.3800,790.15,103.66e-6,610.55e-3,24.679e-3,22.067,17.648e-6,52.098e-3
529.22,4.4000,789.73,103.54e-6,610.24e-3,24.614e-3,22.172,17.658e-6,52.185e-3
529.50,4.4200,789.30,103.42e-6,609.94e-3,24.549e-3,22.277,17.669e-6,52.271e-3
529.77,4.4400,788.88,103.29e-6,609.63e-3,24.485e-3,22.382,17.679e-6,52.358e-3
530.04,4.4600,788.46,103.17e-6,609.32e-3,24.420e-3,22.487,17.690e-6,52.444e-3
530.32,4.4800,788.04,103.05e-6,609.01e-3,24.356e-3,22.592,17.700e-6,52.531e-3
530.59,4.5000,787.62,102.93e-6,608.71e-3,24.292e-3,22.697,17.711e-6,52.617e-3
530.86,4.5200,787.20,102.81e-6,608.40e-3,24.229e-3,22.802,17.721e-6,52.704e-3
531.13,4.5400,786.78,102.70e-6,608.09e-3,24.165e-3,22.907,17.731e-6,52.790e-3
531.40,4.5600,786.37,102.58e-6,607.79e-3,24.102e-3,23.013,17.742e-6,52.876e-3
531.66,4.5800,785.95,102.46e-6,607.48e-3,24.039e-3,23.118,17.752e-6,52.963e-3
531.93,4.6000,785.53,102.34e-6,607.18e-3,23.976e-3,23.224,17.762e-6,53.049e-3
532.20,4.6200,785.12,102.23e-6,606.88e-3,23.913e-3,23.329,17.773e-6,53.135e-3
532.46,4.6400,784.70,102.11e-6,606.57e-3,23.851e-3,23.435,17.783e-6,53.221e-3
532.73,4.6600,784.29,102.00e-6,606.27e-3,23.789e-3,23.541,17.793e-6,53.307e-3
532.99,4.6800,783.88,101.88e-6,605.97e-3,23.727e-3,23.647,17.803e-6,53.394e-3
533.25,4.7000,783.47,101.77e-6,605.66e-3,23.665e-3,23.753,17.813e-6,53.480e-3
533.51,4.7200,783.05,101.65e-6,605.36e-3,23.603e-3,23.859,17.824e-6,53.566e-3
533.77,4.7400,782.64,101.54e-6,605.06e-3,23.542e-3,23.965,17.834e-6,53.652e-3
534.03,4.7600,782.23,101.43e-6,604.76e-3,23.481e-3,24.071,17.844e-6,53.738e-3
534.29,4.7800,781.83,101.32e-6,604.46e-3,23.420e-3,24.177,17.854e-6,53.824e-3
534.55,4.8000,781.42,101.21e-6,604.16e-3,23.359e-3,24.284,17.864e-6,53.910e-3
534.81,4.8200,781.01,101.10e-6,603.86e-3,23.298e-3,24.390,17.874e-6,53.996e-3
535.07,4.8400,780.60,100.99e-6,603.56e-3,23.238e-3,24.496,17.884e-6,54.082e-3
535.32,4.8600,780.20,100.88e-6,603.26e-3,23.178e-3,24.603,17.894e-6,54.168e-3
535.58,4.8800,779.79,100.77e-6,602.96e-3,23.118e-3,24.710,17.904e-6,54.253e-3
535.83,4.9000,779.38,100.66e-6,602.66e-3,23.058e-3,24.816,17.914e-6,54.339e-3
536.08,4.9200,778.98,100.55e-6,602.36e-3,22.998e-3,24.923,17.924e-6,54.425e-3
536.34,4.9400,778.58,100.44e-6,602.06e-3,22.939e-3,25.030,17.934e-6,54.511e-3
536.59,4.9600,778.17,100.33e-6,601.77e-3,22.879e-3,25.137,17.944e-6,54.597e-3
536.84,4.9800,777.77,100.23e-6,601.47e-3,22.820e-3,25.244,17.954e-6,54.683e-3
537.09,5.0000,777.37,100.12e-6,601.17e-3,22.761e-3,25.351,17.964e-6,54.768e-3


